OBJECTID,JURISDICT_SYST_ID,JURISDICT_TYPE_CD,JURISDICT_LABEL_NM,JURISDICT_NM,JURISDICT_DESG_CD,JURISDICT_FIPS_DESG_CD,JURISDICT_VACATED_FLG,EDIT_DATE,EDIT_STATUS,EDIT_WHO,GLOBALID
2623388,4698173,4,Stevens,Stevens County,33,53065,,2026/05/28 22:43:03+00,0,TSTE490,{ED22E0F2-80EE-436B-AF63-17F6BEEC7C57}
2623424,25,4,Grant,Grant County,13,53025,,2018/03/15 00:26:49+00,1,TSTE490,{6DCD29D9-9A8F-4CCE-A501-8435D3774319}
2625500,4698174,4,Pend Oreille,Pend Oreille County,26,53051,,2025/11/20 00:40:36+00,0,TSTE490,{2EBEBA3C-0236-49E8-A50F-D5C6AD378746}
2627580,33,4,Garfield,Garfield County,12,53023,,2022/06/23 23:47:50+00,1,TSTE490,{0DAAE620-627E-43EE-9356-76DD264EBAAB}
2627941,8,4,Island,Island County,15,53029,,2018/03/15 00:26:49+00,1,TSTE490,{CED7224F-60F0-42A1-B7C4-4D61744689C4}
2628547,20,4,Grays Harbor,Grays Harbor County,14,53027,,2025/06/18 23:38:53+00,1,TSTE490,{9FCC3199-8E01-4890-AF51-02A06BE0DF48}
2628548,4,4,Skagit,Skagit County,29,53057,,2024/12/05 00:36:04+00,1,TSTE490,{0B6C6670-A55E-46ED-B76D-5426C6BA802D}
2628549,4690632,4,Whatcom,Whatcom County,37,53073,,2024/12/05 00:36:04+00,0,TSTE490,{8581B94C-C696-4A2E-BF9D-9BBF43B8557C}
2628607,35,4,Walla Walla,Walla Walla County,36,53071,,2015/10/14 18:25:19+00,1,JDUG490,{78C65DE3-F24B-43E5-B70C-083781C6432A}
2628626,34,4,Columbia,Columbia County,7,53013,,2015/10/14 18:25:20+00,1,JDUG490,{B13BDCFA-37E4-467D-A817-CF3EEA42E015}
2628666,32,4,Asotin,Asotin County,2,53003,,2022/10/27 23:48:50+00,1,TSTE490,{3AB72ED9-259F-4D2E-BB45-DD512664AEE4}
2628680,29,4,Franklin,Franklin County,11,53021,,2015/08/27 19:06:01+00,1,JDUG490,{706BDC04-1571-43D7-AFE0-7DF4B818B1C8}
2628767,17,4,Douglas,Douglas County,9,53017,,2018/01/25 01:26:27+00,1,TSTE490,{CECC08F7-B005-4F35-A128-2B6C9F531071}
