"Label (Grouping)","Adams County, Washington!!Estimate","Adams County, Washington!!Margin of Error","Adams County, Washington!!Percent","Adams County, Washington!!Percent Margin of Error","Asotin County, Washington!!Estimate","Asotin County, Washington!!Margin of Error","Asotin County, Washington!!Percent","Asotin County, Washington!!Percent Margin of Error","Benton County, Washington!!Estimate","Benton County, Washington!!Margin of Error","Benton County, Washington!!Percent","Benton County, Washington!!Percent Margin of Error","Chelan County, Washington!!Estimate","Chelan County, Washington!!Margin of Error","Chelan County, Washington!!Percent","Chelan County, Washington!!Percent Margin of Error","Clallam County, Washington!!Estimate","Clallam County, Washington!!Margin of Error","Clallam County, Washington!!Percent","Clallam County, Washington!!Percent Margin of Error","Clark County, Washington!!Estimate","Clark County, Washington!!Margin of Error","Clark County, Washington!!Percent","Clark County, Washington!!Percent Margin of Error","Columbia County, Washington!!Estimate","Columbia County, Washington!!Margin of Error","Columbia County, Washington!!Percent","Columbia County, Washington!!Percent Margin of Error","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Margin of Error","Cowlitz County, Washington!!Percent","Cowlitz County, Washington!!Percent Margin of Error","Douglas County, Washington!!Estimate","Douglas County, Washington!!Margin of Error","Douglas County, Washington!!Percent","Douglas County, Washington!!Percent Margin of Error","Ferry County, Washington!!Estimate","Ferry County, Washington!!Margin of Error","Ferry County, Washington!!Percent","Ferry County, Washington!!Percent Margin of Error","Franklin County, Washington!!Estimate","Franklin County, Washington!!Margin of Error","Franklin County, Washington!!Percent","Franklin County, Washington!!Percent Margin of Error","Garfield County, Washington!!Estimate","Garfield County, Washington!!Margin of Error","Garfield County, Washington!!Percent","Garfield County, Washington!!Percent Margin of Error","Grant County, Washington!!Estimate","Grant County, Washington!!Margin of Error","Grant County, Washington!!Percent","Grant County, Washington!!Percent Margin of Error","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Margin of Error","Grays Harbor County, Washington!!Percent","Grays Harbor County, Washington!!Percent Margin of Error","Island County, Washington!!Estimate","Island County, Washington!!Margin of Error","Island County, Washington!!Percent","Island County, Washington!!Percent Margin of Error","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Margin of Error","Jefferson County, Washington!!Percent","Jefferson County, Washington!!Percent Margin of Error","King County, Washington!!Estimate","King County, Washington!!Margin of Error","King County, Washington!!Percent","King County, Washington!!Percent Margin of Error","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Margin of Error","Kitsap County, Washington!!Percent","Kitsap County, Washington!!Percent Margin of Error","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Margin of Error","Kittitas County, Washington!!Percent","Kittitas County, Washington!!Percent Margin of Error","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Margin of Error","Klickitat County, Washington!!Percent","Klickitat County, Washington!!Percent Margin of Error","Lewis County, Washington!!Estimate","Lewis County, Washington!!Margin of Error","Lewis County, Washington!!Percent","Lewis County, Washington!!Percent Margin of Error","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Margin of Error","Lincoln County, Washington!!Percent","Lincoln County, Washington!!Percent Margin of Error","Mason County, Washington!!Estimate","Mason County, Washington!!Margin of Error","Mason County, Washington!!Percent","Mason County, Washington!!Percent Margin of Error","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Margin of Error","Okanogan County, Washington!!Percent","Okanogan County, Washington!!Percent Margin of Error","Pacific County, Washington!!Estimate","Pacific County, Washington!!Margin of Error","Pacific County, Washington!!Percent","Pacific County, Washington!!Percent Margin of Error","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Margin of Error","Pend Oreille County, Washington!!Percent","Pend Oreille County, Washington!!Percent Margin of Error","Pierce County, Washington!!Estimate","Pierce County, Washington!!Margin of Error","Pierce County, Washington!!Percent","Pierce County, Washington!!Percent Margin of Error","San Juan County, Washington!!Estimate","San Juan County, Washington!!Margin of Error","San Juan County, Washington!!Percent","San Juan County, Washington!!Percent Margin of Error","Skagit County, Washington!!Estimate","Skagit County, Washington!!Margin of Error","Skagit County, Washington!!Percent","Skagit County, Washington!!Percent Margin of Error","Skamania County, Washington!!Estimate","Skamania County, Washington!!Margin of Error","Skamania County, Washington!!Percent","Skamania County, Washington!!Percent Margin of Error","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Margin of Error","Snohomish County, Washington!!Percent","Snohomish County, Washington!!Percent Margin of Error","Spokane County, Washington!!Estimate","Spokane County, Washington!!Margin of Error","Spokane County, Washington!!Percent","Spokane County, Washington!!Percent Margin of Error","Stevens County, Washington!!Estimate","Stevens County, Washington!!Margin of Error","Stevens County, Washington!!Percent","Stevens County, Washington!!Percent Margin of Error","Thurston County, Washington!!Estimate","Thurston County, Washington!!Margin of Error","Thurston County, Washington!!Percent","Thurston County, Washington!!Percent Margin of Error","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Margin of Error","Wahkiakum County, Washington!!Percent","Wahkiakum County, Washington!!Percent Margin of Error","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Margin of Error","Walla Walla County, Washington!!Percent","Walla Walla County, Washington!!Percent Margin of Error","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Margin of Error","Whatcom County, Washington!!Percent","Whatcom County, Washington!!Percent Margin of Error","Whitman County, Washington!!Estimate","Whitman County, Washington!!Margin of Error","Whitman County, Washington!!Percent","Whitman County, Washington!!Percent Margin of Error","Yakima County, Washington!!Estimate","Yakima County, Washington!!Margin of Error","Yakima County, Washington!!Percent","Yakima County, Washington!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","20,690","*****","20,690","(X)","22,424","*****","22,424","(X)","210,224","*****","210,224","(X)","79,518","*****","79,518","(X)","77,593","*****","77,593","(X)","510,516","*****","510,516","(X)","3,996","*****","3,996","(X)","111,539","*****","111,539","(X)","43,733","*****","43,733","(X)","7,326","*****","7,326","(X)","97,676","*****","97,676","(X)","2,326","*****","2,326","(X)","100,428","*****","100,428","(X)","76,397","*****","76,397","(X)","86,747","*****","86,747","(X)","33,313","*****","33,313","(X)","2,262,713","*****","2,262,713","(X)","276,581","*****","276,581","(X)","44,736","*****","44,736","(X)","23,082","*****","23,082","(X)","83,925","*****","83,925","(X)","11,271","*****","11,271","(X)","66,968","*****","66,968","(X)","42,811","*****","42,811","(X)","23,750","*****","23,750","(X)","13,811","*****","13,811","(X)","924,106","*****","924,106","(X)","18,266","*****","18,266","(X)","130,407","*****","130,407","(X)","12,276","*****","12,276","(X)","834,648","*****","834,648","(X)","544,323","*****","544,323","(X)","47,470","*****","47,470","(X)","296,640","*****","296,640","(X)","4,573","*****","4,573","(X)","62,102","*****","62,102","(X)","228,432","*****","228,432","(X)","47,042","*****","47,042","(X)","256,605","*****","256,605","(X)"
"        Male","10,606","±97","51.3%","±0.5","11,130","±128","49.6%","±0.6","105,883","±157","50.4%","±0.1","40,075","±168","50.4%","±0.2","38,288","±119","49.3%","±0.2","253,556","±90","49.7%","±0.1","2,009","±77","50.3%","±1.9","55,833","±145","50.1%","±0.1","22,622","±130","51.7%","±0.3","3,713","±60","50.7%","±0.8","50,261","±188","51.5%","±0.2","1,240","±91","53.3%","±3.9","51,304","±217","51.1%","±0.2","39,200","±118","51.3%","±0.2","43,645","±206","50.3%","±0.2","16,271","±135","48.8%","±0.4","1,146,257","*****","50.7%","*****","142,086","±119","51.4%","±0.1","22,497","±129","50.3%","±0.3","11,754","±86","50.9%","±0.4","42,271","±128","50.4%","±0.2","5,731","±63","50.8%","±0.6","34,904","±168","52.1%","±0.3","21,883","±60","51.1%","±0.1","11,798","±114","49.7%","±0.5","7,149","±88","51.8%","±0.6","464,029","*****","50.2%","*****","8,984","±48","49.2%","±0.3","64,927","±42","49.8%","±0.1","6,241","±78","50.8%","±0.6","420,882","±97","50.4%","±0.1","271,702","±46","49.9%","±0.1","23,831","±133","50.2%","±0.3","145,919","±87","49.2%","±0.1","2,312","±103","50.6%","±2.3","31,560","±347","50.8%","±0.6","113,336","±85","49.6%","±0.1","23,857","±146","50.7%","±0.3","128,666","±130","50.1%","±0.1"
"        Female","10,084","±97","48.7%","±0.5","11,294","±128","50.4%","±0.6","104,341","±157","49.6%","±0.1","39,443","±168","49.6%","±0.2","39,305","±119","50.7%","±0.2","256,960","±90","50.3%","±0.1","1,987","±77","49.7%","±1.9","55,706","±145","49.9%","±0.1","21,111","±130","48.3%","±0.3","3,613","±60","49.3%","±0.8","47,415","±188","48.5%","±0.2","1,086","±91","46.7%","±3.9","49,124","±217","48.9%","±0.2","37,197","±118","48.7%","±0.2","43,102","±206","49.7%","±0.2","17,042","±135","51.2%","±0.4","1,116,456","*****","49.3%","*****","134,495","±119","48.6%","±0.1","22,239","±129","49.7%","±0.3","11,328","±86","49.1%","±0.4","41,654","±128","49.6%","±0.2","5,540","±63","49.2%","±0.6","32,064","±168","47.9%","±0.3","20,928","±60","48.9%","±0.1","11,952","±114","50.3%","±0.5","6,662","±88","48.2%","±0.6","460,077","*****","49.8%","*****","9,282","±48","50.8%","±0.3","65,480","±42","50.2%","±0.1","6,035","±78","49.2%","±0.6","413,766","±97","49.6%","±0.1","272,621","±46","50.1%","±0.1","23,639","±133","49.8%","±0.3","150,721","±87","50.8%","±0.1","2,261","±103","49.4%","±2.3","30,542","±347","49.2%","±0.6","115,096","±85","50.4%","±0.1","23,185","±146","49.3%","±0.3","127,939","±130","49.9%","±0.1"
"        Sex ratio (males per 100 females)","105.2","±2.0","(X)","(X)","98.5","±2.2","(X)","(X)","101.5","±0.3","(X)","(X)","101.6","±0.9","(X)","(X)","97.4","±0.6","(X)","(X)","98.7","±0.1","(X)","(X)","101.1","±7.9","(X)","(X)","100.2","±0.5","(X)","(X)","107.2","±1.3","(X)","(X)","102.8","±3.4","(X)","(X)","106.0","±0.8","(X)","(X)","114.2","±18.0","(X)","(X)","104.4","±0.9","(X)","(X)","105.4","±0.7","(X)","(X)","101.3","±1.0","(X)","(X)","95.5","±1.5","(X)","(X)","102.7","*****","(X)","(X)","105.6","±0.2","(X)","(X)","101.2","±1.2","(X)","(X)","103.8","±1.5","(X)","(X)","101.5","±0.6","(X)","(X)","103.4","±2.3","(X)","(X)","108.9","±1.1","(X)","(X)","104.6","±0.6","(X)","(X)","98.7","±1.9","(X)","(X)","107.3","±2.7","(X)","(X)","100.9","*****","(X)","(X)","96.8","±1.0","(X)","(X)","99.2","±0.1","(X)","(X)","103.4","±2.6","(X)","(X)","101.7","±0.1","(X)","(X)","99.7","±0.1","(X)","(X)","100.8","±1.1","(X)","(X)","96.8","±0.1","(X)","(X)","102.3","±9.1","(X)","(X)","103.3","±2.3","(X)","(X)","98.5","±0.1","(X)","(X)","102.9","±1.3","(X)","(X)","100.6","±0.2","(X)","(X)"
"        Under 5 years","1,810","±8","8.7%","±0.1","1,284","±124","5.7%","±0.6","13,630","±37","6.5%","±0.1","4,441","±104","5.6%","±0.1","3,058","±21","3.9%","±0.1","29,132","*****","5.7%","*****","168","±34","4.2%","±0.8","6,401","±163","5.7%","±0.1","2,734","±79","6.3%","±0.2","299","±18","4.1%","±0.2","8,084","±107","8.3%","±0.1","82","±36","3.5%","±1.5","7,253","±92","7.2%","±0.1","3,610","±82","4.7%","±0.1","4,285","±50","4.9%","±0.1","840","±66","2.5%","±0.2","120,412","*****","5.3%","*****","14,671","*****","5.3%","*****","1,921","±45","4.3%","±0.1","1,046","±34","4.5%","±0.1","4,732","±81","5.6%","±0.1","586","±40","5.2%","±0.4","3,384","±94","5.1%","±0.1","2,373","±32","5.5%","±0.1","803","±43","3.4%","±0.2","593","±14","4.3%","±0.1","57,111","*****","6.2%","*****","524","±19","2.9%","±0.1","7,068","±26","5.4%","±0.1","483","±38","3.9%","±0.3","50,628","*****","6.1%","*****","30,694","*****","5.6%","*****","2,340","±91","4.9%","±0.2","16,139","*****","5.4%","*****","170","±31","3.7%","±0.7","3,084","±52","5.0%","±0.1","10,797","±62","4.7%","±0.1","1,941","±17","4.1%","±0.1","18,822","±122","7.3%","±0.1"
"        5 to 9 years","1,778","±274","8.6%","±1.3","930","±165","4.1%","±0.7","16,667","±812","7.9%","±0.4","4,813","±399","6.1%","±0.5","3,875","±301","5.0%","±0.4","32,970","±1,165","6.5%","±0.2","224","±69","5.6%","±1.7","7,073","±443","6.3%","±0.4","2,808","±288","6.4%","±0.7","412","±95","5.6%","±1.3","7,962","±663","8.2%","±0.7","98","±65","4.2%","±2.8","8,046","±438","8.0%","±0.4","3,877","±295","5.1%","±0.4","4,048","±354","4.7%","±0.4","1,021","±172","3.1%","±0.5","124,058","±1,979","5.5%","±0.1","15,393","±750","5.6%","±0.3","2,198","±265","4.9%","±0.6","1,047","±179","4.5%","±0.8","5,031","±425","6.0%","±0.5","641","±117","5.7%","±1.0","3,830","±391","5.7%","±0.6","2,697","±289","6.3%","±0.7","977","±125","4.1%","±0.5","779","±128","5.6%","±0.9","60,155","±1,531","6.5%","±0.2","509","±54","2.8%","±0.3","7,897","±432","6.1%","±0.3","681","±89","5.5%","±0.7","52,065","±1,255","6.2%","±0.2","33,285","±1,027","6.1%","±0.2","2,753","±224","5.8%","±0.5","17,762","±927","6.0%","±0.3","286","±90","6.3%","±2.0","3,437","±389","5.5%","±0.6","12,495","±669","5.5%","±0.3","2,318","±201","4.9%","±0.4","20,541","±844","8.0%","±0.3"
"        10 to 14 years","2,462","±270","11.9%","±1.3","1,352","±178","6.0%","±0.8","15,546","±812","7.4%","±0.4","5,766","±402","7.3%","±0.5","3,501","±302","4.5%","±0.4","34,430","±1,165","6.7%","±0.2","223","±52","5.6%","±1.3","7,320","±458","6.6%","±0.4","3,449","±291","7.9%","±0.7","329","±71","4.5%","±1.0","9,498","±654","9.7%","±0.7","127","±55","5.5%","±2.4","8,467","±442","8.4%","±0.4","4,936","±297","6.5%","±0.4","4,484","±340","5.2%","±0.4","1,306","±169","3.9%","±0.5","128,232","±1,980","5.7%","±0.1","15,721","±735","5.7%","±0.3","2,370","±272","5.3%","±0.6","1,396","±198","6.0%","±0.9","5,226","±420","6.2%","±0.5","757","±123","6.7%","±1.1","3,679","±357","5.5%","±0.5","2,801","±295","6.5%","±0.7","1,129","±114","4.8%","±0.5","722","±120","5.2%","±0.9","62,044","±1,531","6.7%","±0.2","833","±58","4.6%","±0.3","7,816","±427","6.0%","±0.3","534","±90","4.3%","±0.7","52,594","±1,254","6.3%","±0.2","33,965","±1,027","6.2%","±0.2","2,943","±214","6.2%","±0.5","18,109","±917","6.1%","±0.3","237","±79","5.2%","±1.7","3,911","±350","6.3%","±0.6","12,335","±661","5.4%","±0.3","1,806","±189","3.8%","±0.4","22,827","±858","8.9%","±0.3"
"        15 to 19 years","1,908","±68","9.2%","±0.3","1,277","±132","5.7%","±0.6","14,686","±146","7.0%","±0.1","4,775","±75","6.0%","±0.1","3,519","±155","4.5%","±0.2","32,692","±188","6.4%","±0.1","95","±55","2.4%","±1.4","6,690","±243","6.0%","±0.2","3,056","±79","7.0%","±0.2","318","±49","4.3%","±0.7","8,167","±164","8.4%","±0.2","193","±102","8.3%","±4.4","8,068","±138","8.0%","±0.1","4,444","±197","5.8%","±0.3","4,155","±178","4.8%","±0.2","969","±87","2.9%","±0.3","123,346","*****","5.5%","*****","14,887","±230","5.4%","±0.1","3,934","±431","8.8%","±1.0","972","±82","4.2%","±0.4","4,882","±133","5.8%","±0.2","699","±58","6.2%","±0.5","3,493","±163","5.2%","±0.2","2,303","±140","5.4%","±0.3","1,234","±130","5.2%","±0.5","767","±78","5.6%","±0.6","55,983","*****","6.1%","*****","714","±48","3.9%","±0.3","7,425","±78","5.7%","±0.1","654","±88","5.3%","±0.7","47,773","±85","5.7%","±0.1","34,152","±80","6.3%","±0.1","2,971","±142","6.3%","±0.3","16,525","±118","5.6%","±0.1","188","±71","4.1%","±1.5","5,352","±291","8.6%","±0.5","14,732","±204","6.4%","±0.1","5,772","±212","12.3%","±0.5","20,227","±94","7.9%","±0.1"
"        20 to 24 years","1,400","±43","6.8%","±0.2","1,188","±110","5.3%","±0.5","12,756","±167","6.1%","±0.1","4,515","±103","5.7%","±0.1","3,078","±125","4.0%","±0.2","29,901","±189","5.9%","±0.1","189","±75","4.7%","±1.9","6,068","±193","5.4%","±0.2","2,518","±47","5.8%","±0.1","305","±86","4.2%","±1.2","6,936","±174","7.1%","±0.2","74","±45","3.2%","±1.9","6,605","±89","6.6%","±0.1","3,529","±140","4.6%","±0.2","5,779","±259","6.7%","±0.3","943","±93","2.8%","±0.3","132,192","*****","5.8%","*****","19,485","±174","7.0%","±0.1","5,037","±415","11.3%","±0.9","1,198","±113","5.2%","±0.5","4,160","±140","5.0%","±0.2","519","±59","4.6%","±0.5","3,251","±182","4.9%","±0.3","2,017","±246","4.7%","±0.6","777","±85","3.3%","±0.4","828","±138","6.0%","±1.0","60,197","*****","6.5%","*****","589","±31","3.2%","±0.2","6,705","±105","5.1%","±0.1","476","±81","3.9%","±0.7","44,633","±115","5.3%","±0.1","35,080","±80","6.4%","±0.1","2,051","±57","4.3%","±0.1","16,675","±106","5.6%","±0.1","199","±73","4.4%","±1.6","5,318","±201","8.6%","±0.3","22,680","±182","9.9%","±0.1","10,848","±279","23.1%","±0.6","17,088","±141","6.7%","±0.1"
